id,name,pleiades,typology,episcopalsee,isnomoscapital,datefrom,dateto
1,Memphis,736963,,1,,,
2,Letopolis,727149,settlement,1,1,325,750
3,Sais,727217,settlement,1,1,326,1100
4,Xois,727256,settlement,1,1,,
5,Hermopolis Mikra,727123,settlement-modern,1,1,325,1300
6,Heroonpolis,727124,,,1,,
7,Bousiris,727090,settlement,1,1,301,1100
8,Athribis,727078,settlement,1,1,301,1000
9,Leontopolis (Tell el-Moqdam),727147,settlement,1,1,301,900
10,Sebennytos,727227,settlement,1,1,326,
11,Heliopolis,727117,settlement,1,1,300,640
12,Tanis,727236,,1,1,,
13,Hermopolis,727122,,,1,,
14,Tell el-Balamun,727111,settlement,1,1,301,700
15,Bubastis,727088,settlement,1,1,326,1100
16,Elephantine,786021,settlement,,1,300,1300
18,Hierakonpolis,786037,,,1,,
19,Luxor complex,786017,settlement,1,1,576,1100
20,Koptos,786010,settlement,1,1,300,1000
21,Dendera,786127,church,1,1,325,1300
22,Diospolis Mikra,756566,,1,1,,
23,Abydos,756512,settlement,,1,401,1000
24,Panopolis,756613,,1,1,,
25,Antaiopolis,756515,,1,1,,
26,Hypsele,756578,,1,1,,
27,Lykopolis,756593,hermitage unit(s),1,1,301,1500
28,Hermoupolis Magna,756574,,1,1,,
29,Kynopolis,736949,,1,1,,
30,Ankyropolis,736888,,,1,,
31,Oxyrhynchos,736983,,1,1,,
32,Herakleopolis Magna,736920,,1,1,,
33,Arsinoe,736948,,1,1,,
34,Aphroditopolis,736889,,1,1,,
35,Thmouis,727249,settlement,1,1,301,900
36,Pelusium,727192,settlement,1,,300,1108
37,Taya,727243,settlement,1,1,325,1228
38,Alexandria,727070,,1,,,
39,Metelis,727163,settlement,1,1,276,
40,Buto,727094,settlement,1,1,301,825
41,Herakleopolis Mikra,727121,settlement,1,1,300,750
42,Kynopolis Inferior,727144,,1,,,
43,Pharbaithos,727196,,1,,,
44,Phakoussa,727194,,1,1,,
45,Nikiou,727174,settlement,1,1,326,
46,Phragonis,727201,settlement,1,,325,1375
47,Kabasa,727133,settlement,1,1,,
48,Panephysis,727184,,1,,,
49,Andronpolis,727071,settlement,1,1,350,1100
50,Onouphis Kato,730134,settlement,1,,,
51,Onouphis Ano,730134,settlement,1,1,351,
52,Schedia,727221,,1,,,
53,Antinoupolis,756518,settlement,1,,250,900
54,Ptolemais,373879,,1,,,
55,Apollonopolis Parva,785975,,1,,,
56,Koussai,756588,,1,,,
57,Neiloupolis,736973,,1,,,
58,Esna,786059,settlement,1,1,,
64,Chenoboskion,756545,,,,,
66,Tabennisis,786125,,,,,
67,Maximianoupolis,786047,,,,,
68,Pbou,756540,,,,,
70,Hermonthis,786036,settlement,1,1,301,800
72,Deir Anba Hadra / St. Simeon,786106,monastery,,,601,1300
73,Bawit,756663,,,,,
74,Naqlun,736975,,,,,
75,Monastery of Apa Jeremiah,736963,monastery,0,1,451,950
76,Sketis,727232,settlement,,,330,1450
77,Nitria,727177,,,,,
78,Kellia,727141,,,,,
79,Monastery of St. Paul,746800,,,,,
80,Monastery St. Antony,,,,,,
82,Western Thebes MMA 1152,786067,hermitage unit(s),,,551,750
83,Nag Hammadi,,settlement-modern,1,,301,500
84,Berenike (Upper Egypt),785986,,1,,,
